year,state,district,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2018,PA,10,552761,266462,286299,734849,581621,100556,34216,61607,509145,105939,60735,734849,45953,95846,91176,95638,50183,49401,572564,546532,126901,292987,15127,9065,23316,27905,40943,53599,38311,49020,17084,18617
2018,PA,11,553568,269825,283743,737394,656429,39386,18616,69093,505794,87803,49271,737394,43193,94074,82299,93893,50937,49100,569443,540016,135491,279475,10757,9873,20312,24600,35527,55707,42605,48405,17449,14240
2018,PA,12,551022,273160,277862,701192,657365,20033,15247,17337,474837,67939,43008,701192,58252,80304,74864,88149,47296,49664,562461,514272,134560,273471,19743,12084,29969,28098,38225,51746,35556,39607,10578,7865
2018,PA,13,545111,268312,276799,692835,647318,29691,7185,22858,497131,59042,39119,692835,39576,78876,77067,95486,51188,50746,553951,527633,143768,278224,15276,14745,28243,28229,41299,56429,39106,36108,10358,8431
2018,PA,14,551164,268241,282923,684084,641786,29523,8039,9612,500816,86292,49444,684084,37903,76974,76835,91562,53161,55771,554616,531521,146513,288288,17345,13480,27205,28784,36526,51700,37633,44246,17726,13643
2018,PA,15,548615,278000,270615,680927,649327,16934,7610,10122,490514,66617,38666,680927,45752,79893,73704,89669,53733,52416,554383,526851,141099,278784,18651,13162,33381,29768,43872,52929,35550,35555,9991,5925
2018,PA,16,539710,262719,276991,686525,623500,42877,11292,18201,482206,83114,46911,686525,43782,80974,76450,88434,50384,51906,547405,515643,134058,284137,18558,15678,33765,31908,37606,53592,35614,35583,11953,9880
2018,PA,17,559285,270617,288668,717264,629316,56646,26573,13090,527144,133095,85316,717264,32569,96500,85589,95015,55701,54548,572579,554647,139791,308678,14891,9824,27240,26452,37393,51696,39166,54217,21599,26200
2018,PA,18,544390,254384,290006,683571,506153,137682,32375,16804,490639,108137,83517,683571,51882,112773,78885,74840,45415,50325,564674,532392,128401,314778,27905,19272,32390,34096,36434,51965,38367,42956,15415,15978
2018,PA,2,496510,234087,262423,727380,333199,210680,64127,190084,489967,70686,34621,727380,40997,122702,92736,87911,46535,42450,549355,523009,97633,256540,31648,16308,32572,28445,34250,41351,26409,28863,9731,6963
2018,PA,3,564612,253086,311526,736340,242730,426613,51920,40023,511382,108960,101977,736340,62647,157220,90329,78769,39820,43349,598696,561586,101895,305996,42878,17386,34005,27522,31537,50754,29889,33167,17968,20890
2018,PA,4,543723,260436,283287,727449,578350,82835,53972,36269,515013,141027,104748,727449,40277,91759,91448,99478,54158,48515,570761,547937,129655,277740,8869,6965,15042,16576,24952,45739,38196,49818,32479,39104
2018,PA,5,519983,243516,276467,718076,460206,192541,58663,33639,488815,103460,80982,718076,48517,98899,89133,90393,51062,44148,558406,526355,115180,265508,15238,10338,20114,23710,29896,45732,30144,39769,21377,29190
2018,PA,6,522912,252469,270443,734876,600135,60814,37544,115981,495772,135370,92276,734876,45173,91413,90167,98095,50015,48336,561879,532899,117746,269735,11918,7817,16119,18544,23615,42950,34371,51279,26198,36924
2018,PA,7,552078,267694,284384,731168,592545,69298,29047,142642,506292,91185,58459,731168,50303,92599,85376,96276,53180,47984,578135,545787,130877,272827,12164,10862,25178,24514,34809,47831,36847,42708,18858,19056
2018,PA,8,535133,261619,273514,696956,602185,53507,17530,86241,496882,78472,45871,696956,40066,84477,77438,96185,48813,53660,556796,526807,136309,273634,18754,15716,28660,24571,37133,53221,35550,38708,11358,9963
2018,PA,9,555775,277295,278480,702489,643082,25603,10861,49849,501251,69076,38913,702489,43704,78751,79057,98812,52996,51094,564312,536066,140541,278703,15596,12849,28999,28706,34408,53628,37953,43224,14149,9191
2018,PR,1,2561292,1198296,1362996,3195153,2079304,544587,6884,3154017,,,,3195153,222760,381445,396979,422128,214899,211363,2601143,2463196,661216,1179637,317019,144175,223119,140110,145383,113662,44369,31915,8143,11742
2018,RI,1,395409,188916,206493,532590,407075,55255,21425,100684,373209,71823,53687,532590,36528,74820,63659,70519,35842,35662,428714,401959,92707,204598,15729,12266,21230,17091,22268,34717,22863,29781,15049,13604
2018,RI,2,407668,195852,211816,524725,445730,31214,23766,67657,367486,75684,53467,524725,38993,71529,59478,69487,37369,39685,424693,399832,89938,201975,11994,8758,13066,15107,21639,35822,26394,39802,14391,15002
2018,SC,1,613912,295032,318880,809610,596258,162456,23288,54494,572743,146948,87714,809610,45246,113164,106825,97771,58632,48987,637589,610202,147364,309161,15429,10120,20883,24651,35445,57869,45859,51041,20951,26913
2018,SC,2,537342,255658,281684,717231,494348,185909,19116,44177,484174,97232,61041,717231,48492,91047,89089,92735,49969,45244,553099,521575,116090,278823,18462,10534,22863,27640,39485,53895,36899,39663,16294,13088
2018,SC,3,534772,258621,276151,697467,534791,136729,8136,36902,475701,66692,42355,697467,50257,78230,83014,89647,49224,45000,549360,514648,130586,269147,21350,18742,31087,29904,37341,49060,30808,32575,10004,8276
2018,SC,4,533533,251842,281691,736750,536500,146647,24244,63356,501213,105818,58390,736750,48231,103878,88457,96848,47531,46874,568368,539092,117625,276650,17641,11490,24880,27730,37038,53327,40823,34295,14693,14733
2018,SC,5,552247,262084,290163,731341,494957,204968,12802,33024,499678,81772,41024,731341,41398,86289,94921,100123,50947,44318,563276,533414,123080,272378,18154,14054,31147,31320,36116,49513,33766,32834,13895,11579
2018,SC,6,506843,241997,264846,659483,256307,376280,10489,30569,435567,56821,31224,659483,59551,98208,79264,71059,41420,41247,523469,478852,104369,244616,28923,16688,36598,30569,38545,43132,23735,16434,5342,4650
2018,SC,7,571428,265082,306346,732245,494545,210801,9416,31980,523279,71861,40443,732245,39623,83539,81793,88826,51630,56851,584557,555141,160640,277216,26215,16707,36864,32862,39454,51092,28797,28279,8297,8649
2018,SD,1,647089,323519,323570,882235,740870,26781,17534,33983,582850,117943,52455,882235,58791,116300,105167,97263,58813,58949,667772,627592,146358,345449,19810,15170,29157,37902,51952,65438,51063,47246,14742,12969
2018,TN,1,563918,271986,291932,720358,677690,22835,7469,28015,518074,66314,40136,720358,41615,81337,85511,100300,48804,53892,578249,549849,148230,288541,24131,16785,41170,33411,43818,54251,31252,28591,7832,7300
2018,TN,2,583056,278806,304250,753229,669804,54755,16315,32404,518808,97057,64384,753229,57715,94582,90900,97764,50274,50153,597154,563907,135135,296678,18412,14900,31724,29233,41530,55651,37850,38826,14737,13815
2018,TN,3,571456,274322,297134,736889,625434,86900,12299,31603,521055,77286,47116,736889,44653,91472,89096,97068,52378,53152,584712,556117,137889,288674,19225,16416,32572,33632,38549,52114,36443,35243,11947,12533
2018,TN,4,590540,284223,306317,798482,664963,89673,18383,53007,534925,83204,37504,798482,56314,107355,100626,106652,53116,48919,613938,578811,118257,292287,18932,12354,28297,27708,45054,59649,43188,35382,12896,8827
2018,TN,5,563797,267201,296596,777696,514933,199451,31628,75284,539992,130904,83479,777696,52773,151057,106804,92819,50733,41481,613750,584709,97098,313581,17537,12098,25654,29583,43516,57953,43841,45732,17304,20363
2018,TN,6,591603,286118,305485,784725,707579,46173,12312,34953,542312,81101,44811,784725,44655,93591,97134,105822,53284,53625,607353,578579,138856,301779,17319,15112,27994,32465,38633,59423,38786,46098,13234,12715
2018,TN,7,578288,283131,295157,786523,656918,90053,23777,41102,523215,110219,57854,786523,46133,100840,104490,103431,50133,47996,591027,560321,116325,283079,18100,13929,26783,28347,36362,47114,33892,42737,15485,20330
