year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,College Graduate"
2020,CA,31,175315,0,286050,1,d,498759,242379,256380,753576,455935,99447,76651,402897,491524,77344,50005,753576,53857,123500,95183,97869,46854,34938,567654,535338,93180,229969,12092,8684,14872,18987,27878,38274,33184,40543,17436,18019,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,32,172942,86818,259760,1,d,456875,219113,237762,700726,352520,23152,143386,427402,485687,78002,30461,700726,48858,100179,95083,89712,47445,43840,554092,526000,109428,202442,7195,9916,16203,15784,23775,33054,29806,37701,16049,12959,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,33,380428,0,380428,1,d,522362,249714,272648,703908,502404,32034,140487,94703,508984,200514,138261,703908,40569,97742,90741,95687,49643,47587,571796,540839,127584,291655,13456,7454,12554,12324,16895,34307,29924,47655,34524,82562,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,34,205346,0,205346,1,d,416264,212162,204102,730042,253054,42224,159844,436903,518267,112469,44351,730042,56402,153274,105561,93189,37759,35867,590092,565892,92617,257349,25169,16286,25988,24592,30664,44380,27728,32938,12876,16728,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,35,169405,74941,244346,1,d,455488,225264,230224,764643,398056,50839,62507,544473,485100,65362,23172,764643,59477,122598,110597,91913,39900,39995,567172,530817,80097,201969,7981,6389,13173,14703,23763,36633,34350,40559,14896,9522,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,36,185051,121640,306691,1,d,538461,271336,267125,755764,538309,46799,35305,369004,542185,81655,49549,755764,43083,94086,86043,83931,48717,52003,602728,576650,177405,277381,20158,15094,28791,23796,34427,42779,34827,40724,18024,18761,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,37,254916,41705,296621,1,d,475186,228843,246343,733668,368150,170693,82003,293748,518935,124065,84747,733668,57075,145510,104529,95632,41259,38261,596684,565697,93744,275527,20074,13098,20264,21886,28064,43198,26585,43779,25234,33345,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,38,190467,65739,256206,1,d,475031,231474,243557,704515,291696,38441,125646,433218,485813,83379,37331,704515,50597,104181,94327,88158,43267,45255,553737,526994,110625,203171,8162,5712,15120,12744,21217,33556,27623,42844,21876,14317,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,39,169837,173946,343783,1,d,486371,236734,249637,717176,372510,16896,252047,235768,504099,143308,73724,717176,46476,94200,91157,99665,51036,49246,567263,542358,118795,229737,6821,4447,9364,12066,18515,36768,30784,51311,26021,33640,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,4,194731,247291,442022,1,r,577133,284329,292804,757806,639821,17579,59206,99503,552358,131043,63539,757806,36444,78118,95963,95104,56720,58541,602309,580870,167912,286740,11933,9270,17110,17639,25653,43823,39360,54414,28761,38777,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,40,135572,50809,186381,1,d,334291,162998,171293,715934,398844,40206,18006,638644,432756,32484,11050,715934,56801,108005,94476,93607,38114,32196,512607,476161,66358,179420,8447,9719,21500,19052,27702,33512,24135,22296,8767,4290,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,41,167938,94289,262227,1,d,479421,235656,243765,786719,366550,83078,62228,493098,477323,52818,31107,786719,67686,122009,105690,96816,39065,37692,575964,528667,76051,195146,7334,6724,12845,11885,24313,40501,29853,35789,14725,11177,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,42,157667,210074,367741,1,r,565461,280586,284875,840562,513962,66210,97773,350171,546396,95938,48980,840562,50316,118922,114290,111726,54351,43632,615956,585444,103475,236023,7732,4852,10595,14173,20213,39241,30253,52320,27790,28854,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,43,199210,78688,277898,1,d,451030,214518,236512,748092,324125,164086,102726,371842,508495,105733,45455,748092,48023,130295,100175,97063,42526,44270,572282,546594,94166,246103,13116,11051,17822,19326,30203,42207,30597,40467,20267,21047,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,44,206036,0,206036,1,d,405957,192770,213187,717140,328279,115742,49145,512057,460026,51976,16408,717140,56104,117502,88855,88879,40296,40442,534510,504661,84052,191030,8540,10410,16970,19797,23241,38568,25005,28038,11107,9354,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,45,221843,193096,414939,1,d,537433,258994,278439,791311,490112,20708,232648,143940,549853,185843,125109,791311,49444,110008,101103,112433,50767,51619,625684,588985,123923,281965,14179,7625,9554,11134,16291,30502,31475,58021,39658,63526,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,46,157803,71716,229519,1,d,419462,209837,209625,734651,372328,19160,110139,491852,478516,69270,31777,734651,59893,124686,101607,94953,43966,34626,559777,526083,78678,194502,6616,5331,11491,14667,21334,41428,28266,36012,16195,13162,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,47,197028,114371,311399,1,d,483829,237894,245935,717594,376564,56134,183251,258354,501717,117789,53536,717594,46102,108603,101043,95494,47786,43445,566017,538850,105346,243994,14003,9868,19255,17865,24297,40180,27963,42618,21368,26577,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,48,193362,201738,395100,1,d,513819,247870,265949,718359,446054,15275,160815,154254,521323,147208,85260,718359,38238,103649,90300,98960,51406,47470,573568,553919,129538,264799,9467,5900,13740,13431,22029,33180,33420,50511,29990,53131,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,49,205349,181157,386506,1,d,519217,256155,263062,731366,589795,28080,71200,203281,500886,140708,95540,731366,50963,98740,91640,94276,49794,46865,567048,540949,119571,253903,7514,5384,10864,15331,23265,32574,31949,48460,27498,51064,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,5,271233,85227,356460,1,d,520065,250997,269068,726072,453790,58367,101428,210119,519390,108698,64148,726072,44017,93692,93042,93063,52728,49928,580289,554377,136937,268680,10538,6751,12426,14989,28726,43107,40452,49457,26945,35289,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,50,166859,195510,362369,0,r,524595,264948,259647,758142,597572,27523,68471,244196,508173,101050,55738,758142,49086,100762,96966,89867,51029,49711,577388,545850,119838,245557,13326,5890,16718,16727,25361,40662,30190,45750,24345,26588,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,51,165596,76841,242437,1,d,443525,233619,209906,740797,507815,56843,68472,527951,477722,53562,21543,740797,55942,121878,100241,85027,41020,37690,556490,522595,91866,207851,10040,15866,20351,20973,31240,36353,29061,28364,9468,6135,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,52,244145,152350,396495,1,d,560713,284877,275836,767151,509171,34420,186920,110296,539667,188464,140702,767151,56168,136009,100225,97228,49107,44783,619301,584943,112315,287694,11979,8708,11451,10818,20336,33875,34978,60278,35423,59848,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,53,334858,0,334858,0,d,564095,278952,285143,782599,490429,79945,139770,264242,551681,143226,80245,782599,57508,148911,120325,93057,41818,41548,628757,597326,106022,276264,10280,7581,17364,16592,25122,47296,44019,53413,26980,27617,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,6,229648,83466,313114,1,d,519617,244641,274976,781943,387825,120247,147385,234022,514711,102207,50272,781943,53511,136424,109625,83134,43938,40323,587437,557830,101267,281104,12664,13968,24297,27016,31361,49441,38300,45287,20371,18399,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,7,217416,166549,383965,1,d,537108,257950,279158,756668,457105,73549,162408,131791,531936,118074,61371,756668,40526,107122,100835,100753,52765,50218,589198,564608,120243,272771,11559,8569,15516,16513,29201,49087,37376,49840,25927,29183,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,8,124400,158711,283111,0,r,473737,235671,238066,723311,534310,74475,27481,324103,448074,48977,28742,723311,52815,101159,85623,76190,45385,44437,520005,488392,95280,228723,13863,11032,20997,25473,31274,42195,30985,31878,13414,7612,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,9,174252,128358,302610,1,d,506465,249492,256973,784956,416134,90625,151121,301460,505038,77489,36198,784956,50206,107045,100382,93806,50219,42578,578231,543436,111008,241764,10959,7927,17902,20752,26169,41008,30393,38391,24148,24115,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CO,1,331621,105955,450290,1,d,635916,316403,319513,852816,669632,81849,40790,231229,621474,202086,121780,852816,48374,189942,137798,98331,43121,44664,686840,662625,107618,368498,18964,12786,22943,25167,36143,61515,46171,67753,32784,44272,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CO,2,316925,182547,515663,1,d,639136,321508,317628,824050,743729,14948,41071,90376,563353,185856,134718,824050,74147,115302,106266,104937,56008,53141,665698,619743,127699,333774,15846,8620,18817,17752,29123,52554,46045,61070,35431,48516,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CO,3,194122,220634,429319,0,r,571465,285677,285788,756569,676878,13408,12694,189513,534957,118714,57712,756569,43195,96916,98677,86364,48575,56403,598950,569785,148022,303788,19950,14288,25847,27068,41628,54656,42067,44767,15486,18031,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CO,4,173945,285606,475107,1,r,618377,309567,308810,868302,773040,19127,27560,194184,582259,134461,82152,868302,51655,113279,123889,113091,57034,52181,655423,622811,122785,318691,12374,9458,19577,22434,28553,50348,46231,65143,32157,32416,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CO,5,161600,249013,432407,1,r,618627,318636,299991,820255,663089,66901,35820,137286,553635,130492,78536,820255,62474,128921,103637,95366,51576,52712,636863,604004,121423,305276,13404,9364,20964,22368,35863,60525,43659,52893,24518,21718,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CO,6,250314,175192,438473,1,d,569294,282862,286432,828201,605860,94205,67198,173992,559231,152232,93994,828201,48664,124013,118818,110308,53915,46461,627939,600501,105716,301487,10558,4454,13606,16626,30588,52886,41589,58632,35806,36742,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CO,7,250525,159301,423691,1,d,591395,293995,297400,808543,690151,23299,38673,240323,560034,133984,68885,808543,51829,139254,116221,96395,47726,48323,630703,600424,112115,303589,11149,6424,17695,19008,33876,58578,42488,59948,26899,27524,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CT,1,222668,122111,349237,1,d,519263,243906,275357,703138,476475,129860,45431,121150,497182,103747,87954,703138,43240,93144,86963,94619,45272,52830,558545,532955,124354,280863,18436,11479,19675,18145,28140,43484,37153,50656,26821,26874,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CT,2,217982,140340,367172,1,d,548326,271760,276566,701590,604510,41653,31386,63088,493416,100321,76540,701590,54526,82802,79999,92619,55631,51908,569879,536385,130457,278655,12339,6449,17069,21236,29631,44547,38545,53132,25452,30255,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
