year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-29","Age,30-39","Age,40-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Black","Race,Latino","Race,Asian","Race,Other","Education,HS or less","Education,College Graduate","Education,Postgraduate"
2016,CA,22,76211,158755,234966,1,r,470021,226532,243489,755289,556374,27560,75836,363632,466284,72310,40113,755289,54059,112158,94383,88043,42671,35823,541068,507723,93206,241790,14596,12032,25814,21549,33908,42519,32091,34257,11783,13241,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,23,74468,167116,241584,1,r,480647,238305,242342,725299,509317,56444,53735,278125,460244,64134,31727,725299,53029,109051,88032,87369,47018,37960,530830,501222,90814,242551,17755,12129,24155,23862,33637,40869,31080,33557,14653,10854,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,24,166034,144780,310814,0,d,502459,249660,252799,738700,587967,19355,48721,267612,471690,97129,63406,738700,79485,93893,82403,84058,45499,45272,585818,530009,120565,252574,13817,10405,17887,17475,32459,45739,35532,39979,17553,21728,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,25,122406,138755,261161,0,r,486145,241454,244691,728858,470038,65443,75228,284066,469945,85760,44830,728858,50033,92789,89107,111006,52331,41044,540815,508848,83668,225209,12258,7538,17001,15213,26557,33392,29418,41055,19708,23069,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,26,169248,111059,280307,1,d,464370,224214,240156,726532,585872,19665,63446,328332,481657,99382,64961,726532,52021,95268,88411,98002,48378,45147,552060,521329,106451,228178,7508,5900,17014,16849,23775,39952,27753,43615,20197,25615,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,27,168977,81655,250632,1,d,487915,233823,254092,724293,272728,44835,296240,203066,526950,129785,83745,724293,44223,98154,95418,102798,54944,47515,587068,563366,128121,243721,17191,10759,19614,15667,25160,39427,28211,39809,22383,25500,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,28,210883,59526,270409,1,d,501568,247542,254026,709613,470995,28352,112175,174830,548770,168414,85238,709613,39345,139659,109458,100761,47071,40904,600900,580787,110917,297443,21138,16981,29414,23879,30342,47619,34159,43894,19061,30956,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,29,171824,0,171824,1,d,403627,200000,203627,726264,418322,28481,62892,496228,480316,69559,22861,726264,57208,123993,101905,99556,43287,37953,554391,526839,73622,211315,13807,12969,25096,22531,29744,36056,25388,27594,10428,7702,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,3,152513,104453,256966,1,d,495945,242783,253162,740253,492473,59495,98223,219817,476942,75409,44218,740253,63929,106344,85926,92623,46894,42682,566345,526973,102473,251190,15155,11214,21791,23352,30010,47716,32174,35572,17797,16409,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,30,205279,77325,282604,1,d,526139,253464,272675,759943,517383,54090,105976,215506,544636,151465,79709,759943,50731,113556,105075,108476,54349,45663,609652,584162,117517,275641,14329,11875,20659,18767,25581,44405,32988,46061,24476,36500,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,31,121070,94866,215936,1,d,464030,220967,243063,742627,456559,90733,69433,397886,459112,66283,37751,742627,61532,118263,95658,89750,41822,35619,543766,508083,78000,222147,15023,11922,19728,20067,30739,38573,31744,31153,13621,9577,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,32,186646,0,186646,1,d,446836,220384,226452,719488,290839,30119,146092,441014,481632,73695,29204,719488,57516,108532,92627,95430,46793,41012,556783,525433,97238,191240,9628,5985,17893,15225,23740,34285,29038,32590,14334,8522,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,33,219397,110822,330219,1,d,526781,253564,273217,712919,517760,27330,128934,91846,524077,196763,145887,712919,41834,105089,95024,105536,51704,44906,587190,556089,121818,301954,14802,10059,15325,15785,20541,36303,32541,54146,29685,72767,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,34,159156,0,159156,1,d,396135,198113,198022,758622,316876,42175,155349,484523,519291,95654,36233,758622,58980,146340,111860,99668,41055,35066,597243,568817,85302,255952,22731,24124,36958,27587,38260,42193,22502,23391,9073,9133,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,35,124044,47309,171353,1,d,432760,216551,216209,744729,344122,57079,61997,527633,460314,55605,18304,744729,64735,117883,102594,94991,42506,35058,548607,510055,67282,191182,8200,8361,19358,17270,28258,40613,26448,28468,9939,4267,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
