year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_nonwhite,ed_pop,ed_4y,ed_no4y,age_pop,age_18_34,age_35_49,age_50_64,age_65_plus,inc_pop,inc_lt_50,inc_50_100,inc_100_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,4yrDegree"
2012,CO,3,142619,185291,347247,0,r,374963,189357,185606,720338,630284,90054,489147,142127,347020,720338,114230,139737,152658,108257,285443,152012,88476,44955,-8,11,18,0,-4,-11,20,-6,-14,-20,40,3,0
2012,CO,4,125800,200006,342336,1,r,360824,182581,178243,738491,655012,83479,475118,153424,321694,738491,114918,158093,140738,84585,265749,110668,85970,69111,-8,11,18,0,-4,-11,20,-6,-14,-20,42,3,0
2012,CO,5,0,199639,307231,1,r,279107,141770,137337,740514,614930,125584,481500,160052,321448,740514,143439,144832,142205,86106,275383,126139,88272,60972,-8,11,18,0,-4,-11,20,-6,-14,-20,52,3,1
2012,CO,6,156937,163938,342914,1,r,312872,154905,157967,748467,570255,178212,487790,193764,294026,748467,131372,163487,140674,77034,272236,102970,89457,79809,-8,11,18,0,-4,-11,20,-6,-14,-20,52,3,0
2012,CO,7,182460,139066,340970,1,d,347788,173322,174466,746027,651932,94095,497338,151732,345606,746027,145319,157570,139414,88245,281756,119397,99376,62983,-8,11,18,0,-4,-11,20,-6,-14,-20,41,3,0
2012,CT,1,192840,82321,297061,1,d,267857,130154,137703,723908,526395,197513,502674,173399,329275,723908,116151,147717,152745,111090,283536,113079,89021,81436,-8,11,18,0,-4,-11,20,-6,-14,-20,59,3,2
2012,CT,2,189444,88103,298960,0,d,263771,131694,132077,709756,623903,85853,484490,164428,320062,709756,105349,146644,152486,107711,267233,94980,85789,86464,-8,11,18,0,-4,-11,20,-6,-14,-20,54,3,2
2012,CT,3,197163,73726,291301,1,d,287219,137564,149655,712314,535449,176865,493981,169485,324496,712314,123508,143472,149752,104888,278565,117932,83219,77414,-8,11,18,0,-4,-11,20,-6,-14,-20,59,3,2
2012,CT,4,167320,117503,293432,1,d,325489,158372,167117,728616,538426,190190,485963,238913,247050,728616,104857,155236,145749,101106,258504,81775,63869,112860,-8,11,18,0,-4,-11,20,-6,-14,-20,55,3,2
2012,CT,5,137631,128927,284757,0,d,294903,143386,151517,715753,580799,134954,490870,164912,325958,715753,106578,148497,151044,107229,269974,107410,80024,82540,-8,11,18,0,-4,-11,20,-6,-14,-20,51,3,2
2012,DC,1,0,0,0,0,,312677,147870,164807,632323,250657,381666,439531,232791,206740,632323,174630,123410,105342,71901,266662,108394,63095,95173,-8,11,18,0,-4,-11,20,-6,-14,-20,73,3,4
2012,DE,1,249933,129757,388059,1,d,362496,175772,186724,917092,639294,277798,618612,182689,435923,917092,150322,179078,184872,140813,340308,145136,112988,82184,-8,11,18,0,-4,-11,20,-6,-14,-20,68,3,1
2012,FL,1,92961,238440,342594,1,r,263826,132578,131248,721000,557371,163629,486991,122902,364089,721000,129149,138586,144612,106552,274901,138050,92208,44643,-8,11,18,0,-4,-11,20,-6,-14,-20,67,3,0
2012,FL,10,153574,164649,318269,0,r,286942,139283,147659,721521,557334,164187,507230,141689,365541,721521,123568,145652,135929,128447,274774,144578,81625,48571,-8,11,18,0,-4,-11,20,-6,-14,-20,56,3,0
2012,FL,11,120303,218360,338663,0,d,210159,102061,108098,705020,614056,90964,540056,95682,444374,705020,77394,109414,148933,222980,290543,181786,81105,27652,-8,11,18,0,-4,-11,20,-6,-14,-20,60,3,0
2012,FL,12,108770,209604,330167,0,r,232511,111755,120756,695511,615889,79622,506759,142951,363808,695511,88480,141166,150669,146741,273360,142534,78329,52497,-8,11,18,0,-4,-11,20,-6,-14,-20,51,3,0
2012,FL,13,139742,189605,329347,0,r,267094,128560,138534,701546,611070,90476,532262,147917,384345,701546,105644,132745,157281,160136,312377,172196,87788,52393,-8,11,18,0,-4,-11,20,-6,-14,-20,55,3,0
2012,FL,14,197121,83480,280601,0,r,312503,154735,157768,739489,472627,266862,492590,125851,366739,739489,158069,151905,135718,83227,285409,173584,71650,40175,-8,11,18,0,-4,-11,20,-6,-14,-20,59,3,0
2012,FL,15,0,1,1,0,r,264256,127115,137141,702728,544054,158674,461316,127349,333967,702728,118181,140800,137087,97216,253920,130820,78199,44901,-8,11,18,0,-4,-11,20,-6,-14,-20,57,3,0
2012,FL,16,161929,187147,349076,0,r,301452,144363,157089,714190,631393,82797,541211,160134,381077,714190,85342,119419,151268,206971,301484,156160,91600,53724,-8,11,18,0,-4,-11,20,-6,-14,-20,54,3,1
