year,state,district,age_pop,allage_m,allage_f,age_18_plus,allage_citzenpct,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2012,CA,13,719569,352276,367293,575680,51.2,719569,331694,145090,168752,158791,493727,125059,96777,60315,116474,108144,95535,46487,41084,543310,86003,279932,22454,18136,30016,21769,33946,43567,31608,36617,18608,23211
2012,CA,14,725771,357798,367973,575721,42.9,725771,361692,29299,250900,179512,513735,134542,77851,44238,99764,108391,109312,51248,42662,549481,102358,248922,9438,8229,17033,17671,27352,39639,32156,44185,19791,33428
2012,CA,15,732515,358178,374337,554657,42.0,732515,365847,60824,234547,168205,494154,131126,71436,44175,100822,109080,113940,47531,38452,528106,84329,239872,8371,8168,16572,13284,22124,36012,28149,48732,27990,30470
2012,CA,16,716746,355360,361386,493489,69.7,716746,385426,54487,76823,423925,408758,33044,12348,60089,106282,88191,83427,35721,29542,454591,65595,202894,23550,15040,35055,25762,29038,34484,17606,15241,4037,3081
2012,CA,17,719276,362594,356682,548128,47.2,719276,242214,28621,387564,123492,495849,138501,119746,38113,117030,121184,104859,41682,32487,526562,78607,238752,8584,5725,12914,12994,18428,30037,28662,58434,28467,34507
2012,CA,18,736397,367424,368973,568305,50.6,736397,502414,18432,168241,129083,511046,150478,146769,40557,98483,107022,110649,53500,40573,542967,100819,272803,9123,8651,14536,15977,22466,35427,28215,49057,28633,60718
2012,CA,19,712983,356124,356859,540470,45.9,712983,358326,27217,207322,290657,466318,96597,52479,53241,108626,103805,102745,42271,34653,509558,74218,215927,10807,8521,16970,15324,23240,32035,28136,39505,19259,22130
2012,CA,2,704148,348594,355554,558296,55.5,704148,566582,17639,37958,117689,500996,114728,79930,38650,77118,90335,103011,54883,55843,530908,119806,276990,16651,15824,28642,23321,33348,43591,32383,41310,17709,24211
2012,CA,20,721890,367806,354084,540617,69.5,721890,555539,20552,51935,373054,449034,77604,45426,63297,101152,91842,92122,43955,38591,499367,81372,220555,10307,9883,22341,20326,28255,42939,27951,31037,14235,13281
2012,CA,21,712866,379634,333232,486265,76.3,712866,471144,35609,27336,517953,399986,22660,8305,63512,110275,92846,81921,33228,24850,449694,56866,179764,13884,15656,30497,26748,30361,29255,15662,11829,3362,2510
